Isolate	CHAP1
CAN1	97.88
CAN2	76.08
CAN3	98.13
CAN4	62.60
CAN5	93.54
CAN6	99.49
CAN7	110.81
CAN8	91.47
CAN9	19.93
CAN10	108.30
CAN11	105.12
CAN12	90.53
CAN13	2.01
CAN14	125.98
CAN15	84.39
CAN16	22.70
CAN17	45.80
CAN18	59.22
CAN19	20.24
CAN20	115.36
CAN21	92.19
CAN23	78.20
CAN24	31.97
CAN25	31.84
CAN26	94.38
CAN27	6.81
CAN28	73.11
CAN29	21.58
CAN30	89.40
CAN31	74.44
CAN32	51.80
CAN33	9.33
CAN34	67.20
CAN35	72.26
CAN36	90.70
CAN37	110.86
CAN38	31.46
CAN39	23.33
CAN40	91.93
CAN41	81.05
CAN43	96.07
CAN44	29.40
CAN45	19.74
CAN46	22.34
CAN47	22.66
CAN48	15.44
CAN49	16.74
CAN50	91.19
CAN51	17.29
CAN52	98.45
CAN53	73.12
CAN54	41.60
CAN55	14.71
CAN56	98.20
CAN57	19.56
CAN58	37.78
CAN59	11.90
CAN60	20.78
CAN61	13.99
CAN62	18.51
CAN63	84.26
CAN64	20.02
CAN65	28.44
CAN66	28.08
CAN67	93.49
CAN68	46.51
CAN69	97.17
CAN70	67.72
CAN71	26.01
CAN72	26.03
CAN73	29.58
CAN74	23.90
CAN75	58.75
CAN76	28.71
CAN77	30.24
CAN78	98.41
CAN79	25.90
CAN80	21.97
CAN81	19.72
CAN82	88.01
CAN83	74.42
CAN84	96.49
CAN85	90.33
CAN86	6.66
CAN88	95.67
CAN89	24.69
CAN90	91.73
CAN91	14.66
CAN92	18.85
CAN93	94.75
CAN94	89.93
CAN95	16.02
CAN96	29.33
CAN97	26.36
CAN98	93.72
CAN99	97.63
CAN100	99.50
CAN101	90.96
CAN102	34.05
CAN103	34.20
CAN104	6.03
CAN105	10.56
CAN106	15.89
CAN107	37.87
CAN108	95.52
CAN109	38.38
CAN110	19.42
CAN111	22.88
CAN112	33.46
CAN113	10.67
CAN114	10.54
CAN115	87.37
CAN116	94.58
CAN117	15.56
CAN118	96.87
CAN119	30.72
CAN120	91.50
CAN121	89.84
CAN122	95.42
CAN123	91.93
CAN124	42.80
CAN125	90.37
CAN126	43.97
CAN127	21.01
CAN128	51.39
CAN129	98.35
CAN130	100.23
CAN131	92.02
CAN132	25.36
CAN133	89.08
CAN134	20.68
CAN135	91.97
CAN136	27.87
CAN137	38.85
CAN138	96.88
CAN139	7.86
CAN140	8.09
CAN141	89.86
CAN142	43.72
CAN143	86.58
CAN144	90.63
CAN145	48.45
CAN146	24.78
CAN147	91.76
CAN148	17.31
CAN149	20.07
CAN150	85.63
CAN151	86.52
CAN152	37.40
CAN153	95.67
CAN154	96.04
CAN155	20.38
CAN156	73.98
CAN157	34.18
CAN158	16.15
CAN159	89.91
CAN160	22.17
CAN161	89.75
CAN162	23.21
CAN163	18.33
CAN164	15.78
CAN165	28.83
CAN166	16.50
CAN167	14.16
CAN168	91.42
CAN169	81.15
CAN170	32.36
CAN171	96.50
CAN172	16.03
CAN173	100.19
CAN174	20.03
CAN175	34.44
CAN176	34.29
CAN177	4.66
CAN178	24.41
CAN179	17.33
CAN180	2.96
CAN181	105.97
CAN182	45.30
CAN183	32.70
CAN184	94.51
CAN185	94.15
CAN186	100.48
CAN187	9.70
CAN188	8.85
CAN189	89.92
CAN190	18.94
CAN191	92.18
CAN192	11.77
CAN193	93.76
CAN194	50.43
CAN195	24.30
CAN196	90.13
CAN197	22.18
CAN198	86.25
CAN199	99.01
CAN200	29.39
CAN201	91.53
CAN202	31.62
CAN203	91.86
CAN204	95.09
CAN205	90.24
HU1	40.58
HU2	92.60
HU3	89.98
HU5	27.31
HU6	95.60
HU7	96.31
HU9	89.08
HU11	28.46
HU12	88.30
HU13	3.63
HU14	18.03
HU17	15.90
HU18	5.16
HU19	96.97
HU21	14.51
HU22	69.96
HU23	6.41
HU25	90.54
HU26	21.51
HU27	24.14
HU28	85.75
HU30	37.89
HU31	20.74
HU32	69.70
HU33	9.96
HU34	14.67
HU35	25.86
HU36	19.06
HU37	97.46
HU38	27.02
HU39	7.23
HU40	79.44
HU41	95.69
HU42	28.55
HU43	36.28
HU44	77.09
HU45	97.46
HU46	49.99
HU47	18.01
HU48	92.91
HU49	94.63
HU50	92.47
HU51	36.32
HU52	57.31
HU53	11.90
HU54	18.20
HU55	64.08
HU56	86.76
HU57	96.48
HU58	30.40
HU59	20.53
HU60	11.86
HU61	16.90
HU62	97.13
HU63	28.99
HU64	91.84
HU65	19.55
HU66	92.60
HU67	24.80
HU68	89.75
HU69	27.98
HU70	11.99
HU71	85.21
HU72	78.86
HU73	23.50
HU74	94.52
HU75	27.86
HU76	84.64
HU77	20.39
HU78	4.78
HU79	69.82
HU80	31.06
HU81	98.21
HU82	96.79
HU83	93.89
HU84	5.45
HU85	13.71
HU93	88.58
HU94	71.03
HU95	19.54
HU96	22.03
HU97	93.48
HB1	77.65
HB2	30.10
HB3	5.01
HB5	20.29
HB6	16.82
HB7	94.87
HB8	89.80
HB9	25.58
HB10	5.54
HB11	20.25
HB12	7.27
HB13	25.78
HB14	32.06
HB15	87.07
HB16	87.06
HB17	74.15
HB18	88.49
HB19	91.93
HB20	24.53
HB21	84.92
HB22	24.76
HB23	20.34
HB24	79.77
HB25	92.35
HB26	81.99
HB27	86.21
HB28	67.46
HB29	61.35
HB30	17.07
HB35	13.64
