E.coli Strain,Phage,Count 1,Count 2,Count 3,Average,Proportional,
CAN167,CHAP1,14,11,5,10,0.05586592179,
deltaOmpA,CHAP1,213,213,41,155.6666667,0.8696461825,
MEDIA,CHAP1,262,128,147,179,1,
ZAP2615,CHAP1,190,215,371,258.6666667,1.445065177,
ZAP2617,CHAP1,212,269,253,244.6666667,1.366852886,
CAN167,NEA2,40,42,62,48,0.364556962,x10
deltaOmpA,NEA2,170,205,242,205.6666667,1.562025316,
MEDIA,NEA2,148,104,143,131.6666667,1,
ZAP2615,NEA2,101,131,81,104.3333333,0.7924050633,
ZAP2617,NEA2,177,203,177,185.6666667,1.410126582,
CAN167,HAM53,39,11,11,20.33333333,0.06861642295,
deltaOmpA,HAM53,513,793,657,654.3333333,2.208098988,
MEDIA,HAM53,195,262,432,296.3333333,1,
ZAP2615,HAM53,0,1,0,0.3333333333,0.001124859393,
ZAP2617,HAM53,8,3,0,3.666666667,0.01237345332,
