Uberstrain	Name	Comment	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_ZA4812AA	CAN01	PATH-SAFE project	traces-0FXQxXc;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-01	2023-05-27	ESC_ZA4812AA	Assembled	103	220852	5066628	Escherichia coli / Shigella;94.59%	109	192071	4.1	ESC_DC2961AA_AS
ESC_ZA5392AA	CAN94	PATH-SAFE project	traces-0cetVeA;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5392AA	Assembled	153	354947	5120134	Escherichia coli / Shigella;97.96%	75	9192	4.1	ESC_DC2959AA_AS
ESC_ZA5393AA	CAN95	PATH-SAFE project	traces-0dkerfd;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5393AA	Assembled	48	424124	5181889	Escherichia coli / Shigella;100.0%	58	11849	4.1	ESC_DC2962AA_AS
ESC_ZA5394AA	CAN96	PATH-SAFE project	traces-0UbkPmF;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5394AA	Assembled	105	279151	5139877	Escherichia coli / Shigella;100.0%	94	79763	4.1	ESC_DC2963AA_AS
ESC_ZA5395AA	CAN97	PATH-SAFE project	traces-0vODMmX;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5395AA	Assembled	127	211181	5263513	Escherichia coli / Shigella;100.0%	141	15194	4.1	ESC_DC2964AA_AS
ESC_ZA5396AA	CAN90	PATH-SAFE project	traces-0AXdGpi;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5396AA	Assembled	77	352583	5090627	Escherichia coli / Shigella;100.0%	64	45837	4.1	ESC_DC2965AA_AS
ESC_ZA5397AA	CAN91	PATH-SAFE project	traces-0ZeFGAW;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5397AA	Assembled	68	289347	5101025	Escherichia coli / Shigella;100.0%	87	93295	4.1	ESC_DC2966AA_AS
ESC_ZA5398AA	CAN92	PATH-SAFE project	traces-0KcqtDJ;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5398AA	Assembled	52	434730	5139750	Escherichia coli / Shigella;100.0%	56	121103	4.1	ESC_DC2967AA_AS
ESC_ZA5399AA	CAN93	PATH-SAFE project	traces-0QMCOXH;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5399AA	Assembled	131	506206	5152131	Escherichia coli / Shigella;98.11%	72	70334	4.1	ESC_DC2968AA_AS
ESC_ZA5400AA	CAN98	PATH-SAFE project	traces-0anhBYs;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5400AA	Assembled	236	147693	4551614	Escherichia coli / Shigella;92.0%	97	19405	4.1	ESC_DC2969AA_AS
